sPoint1                                                  | sPoint2                                              | idx1 | idx2 | ∇% | ∇%P1 | ∇%P2 |    ∇ | match | ∇P1  | ∇P2
Al Reef Al Yamani Restaurant & Bakers                    | Sahara Star Restaurant                               |   23 |   43 |  0 |    0 |    0 |    0 |  5183 | 0    | 0
Zaid Alammor                                             | Al Reef Al Yamani Restaurant & Bakers                |   16 |   23 |  1 |    1 |    0 |   44 |  5168 | 28   | 16
Zaid Alammor                                             | Sahara Star Restaurant                               |   16 |   43 |  1 |    1 |    0 |   44 |  5168 | 28   | 16
Al Reef Al Yamani Restaurant & Bakers                    | Laffah Restaurant Dubai Branch                       |   23 |   40 |  1 |    0 |    1 |   49 |  5167 | 16   | 33
Laffah Restaurant Dubai Branch                           | Sahara Star Restaurant                               |   40 |   43 |  1 |    1 |    0 |   49 |  5168 | 33   | 16
Shahran Restaurant                                       |                                                      |    7 |    8 |  1 |    0 |    0 |   52 |  8604 | 13   | 39
Al Reef Al Yamani Restaurant & Bakers                    | Zayed Al Amoor Seafood Restaurant                    |   23 |   57 |  1 |    0 |    1 |   58 |  5167 | 16   | 42
Sahara Star Restaurant                                   | Zayed Al Amoor Seafood Restaurant                    |   43 |   57 |  1 |    0 |    1 |   58 |  5168 | 16   | 42
Zaid Alammor                                             | Laffah Restaurant Dubai Branch                       |   16 |   40 |  1 |    1 |    1 |   61 |  5168 | 28   | 33
Shahran Restaurant                                       |                                                      |    7 |   31 |  1 |    0 |    1 |   66 |  8604 | 13   | 53
Zaid Alammor                                             | Zayed Al Amoor Seafood Restaurant                    |   16 |   57 |  1 |    1 |    1 |   70 |  5168 | 28   | 42
Laffah Restaurant Dubai Branch                           | Zayed Al Amoor Seafood Restaurant                    |   40 |   57 |  1 |    1 |    1 |   75 |  5168 | 33   | 42
Shahran Restaurant                                       | Shabaka and Senara Seafood Restaurent                |    7 |   45 |  1 |    0 |    1 |   75 |  8604 | 13   | 62
                                                         |                                                      |    8 |   31 |  1 |    0 |    1 |   92 |  8604 | 39   | 53
                                                         | Shabaka and Senara Seafood Restaurent                |    8 |   45 |  1 |    0 |    1 |  101 |  8604 | 39   | 62
                                                         | Shabaka and Senara Seafood Restaurent                |   31 |   45 |  1 |    1 |    1 |  115 |  8604 | 53   | 62
Shahran Restaurant                                       | Shawerma House                                       |    7 |   36 |  1 |    0 |    1 |  126 |  8604 | 13   | 113
Al Reef Al Yamani Restaurant & Bakers                    | Al Prince Al Amoor Restaurant -                      |   23 |   33 |  2 |    0 |    2 |  118 |  5167 | 16   | 102
Al Prince Al Amoor Restaurant -                          | Sahara Star Restaurant                               |   33 |   43 |  2 |    2 |    0 |  118 |  5168 | 102  | 16
Zaid Alammor                                             | Al Prince Al Amoor Restaurant -                      |   16 |   33 |  2 |    1 |    2 |  130 |  5168 | 28   | 102
                                                         | Shawerma House                                       |    8 |   36 |  2 |    0 |    1 |  152 |  8604 | 39   | 113
Russian Traditions Restaurant                            | Taza                                                 |   17 |   18 |  2 |    1 |    0 |  165 | 10400 | 115  | 50
                                                         | Shawerma House                                       |   31 |   36 |  2 |    1 |    1 |  166 |  8604 | 53   | 113
Shawerma House                                           | Shabaka and Senara Seafood Restaurent                |   36 |   45 |  2 |    1 |    1 |  175 |  8604 | 113  | 62
Vapiano                                                  | Tike Taste Of Istanbul Restaurant                    |   35 |   44 |  2 |    1 |    1 |  279 | 13121 | 141  | 138
Al Prince Al Amoor Restaurant -                          | Laffah Restaurant Dubai Branch                       |   33 |   40 |  3 |    2 |    1 |  135 |  5168 | 102  | 33
Al Prince Al Amoor Restaurant -                          | Zayed Al Amoor Seafood Restaurant                    |   33 |   57 |  3 |    2 |    1 |  144 |  5168 | 102  | 42
Star One restaurant                                      | Al Reef Al Yamani Restaurant & Bakers                |    5 |   23 |  3 |    3 |    0 |  169 |  5168 | 153  | 16
Star One restaurant                                      | Sahara Star Restaurant                               |    5 |   43 |  3 |    3 |    0 |  169 |  5168 | 153  | 16
Star One restaurant                                      | Zaid Alammor                                         |    5 |   16 |  3 |    3 |    1 |  181 |  5168 | 153  | 28
Star One restaurant                                      | Laffah Restaurant Dubai Branch                       |    5 |   40 |  3 |    3 |    1 |  186 |  5168 | 153  | 33
Samakati                                                 | Al Aumdah Restaurant                                 |   51 |   55 |  3 |    1 |    2 |  186 |  5831 | 76   | 110
Shahran Restaurant                                       | It's Malabar restaurant                              |    7 |   58 |  3 |    0 |    2 |  233 |  8604 | 13   | 220
                                                         | It's Malabar restaurant                              |    8 |   58 |  3 |    0 |    2 |  259 |  8604 | 39   | 220
                                                         | It's Malabar restaurant                              |   31 |   58 |  3 |    1 |    2 |  273 |  8604 | 53   | 220
Shabaka and Senara Seafood Restaurent                    | It's Malabar restaurant                              |   45 |   58 |  3 |    1 |    2 |  282 |  8604 | 62   | 220
Nahda Gardens Restaurant                                 | Parkview Restaurant                                  |   52 |   53 |  3 |    1 |    2 |  297 |  9195 | 93   | 204
Star One restaurant                                      | Zayed Al Amoor Seafood Restaurant                    |    5 |   57 |  4 |    3 |    1 |  195 |  5168 | 153  | 42
Shawerma House                                           | It's Malabar restaurant                              |   36 |   58 |  4 |    1 |    2 |  333 |  8604 | 113  | 220
Abad Plaza Restaurant & Cafeteria                        | Damietta Restaurant                                  |   14 |   54 |  4 |    3 |    1 |  379 |  8814 | 300  | 79
Jordanian kitchen restaurant and sweets sharjah          | Delhi Nihari Restaurant - Al Nahda                   |   41 |   50 |  4 |    3 |    1 |  383 |  9295 | 320  | 63
Star One restaurant                                      | Al Prince Al Amoor Restaurant -                      |    5 |   33 |  5 |    3 |    2 |  255 |  5168 | 153  | 102
Bangkok Town Restaurant                                  | Al Nadeg Restaurant                                  |   11 |   22 |  5 |    3 |    2 |  257 |  5356 | 150  | 107
Al Reef Al Yamani Restaurant & Bakers                    | AlKhettar Catering                                   |   23 |   29 |  5 |    2 |    3 |  262 |  5058 | 125  | 137
AlKhettar Catering                                       | Sahara Star Restaurant                               |   29 |   43 |  5 |    3 |    2 |  262 |  5059 | 137  | 125
Zaid Alammor                                             | AlKhettar Catering                                   |   16 |   29 |  5 |    3 |    3 |  274 |  5059 | 137  | 137
AlKhettar Catering                                       | Laffah Restaurant Dubai Branch                       |   29 |   40 |  5 |    3 |    3 |  279 |  5059 | 137  | 142
AlKhettar Catering                                       | Zayed Al Amoor Seafood Restaurant                    |   29 |   57 |  5 |    3 |    3 |  288 |  5059 | 137  | 151
Al Nadeg Restaurant                                      | Al Prince Al Amoor Restaurant -                      |   22 |   33 |  5 |    5 |    1 |  301 |  5216 | 247  | 54
Arabian Taste Resurant                                   | Chicken Tikka                                        |    9 |   34 |  5 |    0 |    5 |  508 |  9612 | 41   | 467
Arabian Taste Resurant                                   | Najmat Pakistan Restaurant                           |    9 |   47 |  5 |    5 |    0 |  523 |  9174 | 479  | 44
Hi-Way Fast Food Restaurant                              | Najmat Pakistan Restaurant                           |   12 |   47 |  5 |    5 |    0 |  526 |  9174 | 482  | 44
jordanian kitchen restaurant and just kunfa sweets       | Taza                                                 |    3 |   18 |  5 |    2 |    4 |  549 | 10065 | 164  | 385
Al Nadeg Restaurant                                      | Al Reef Al Yamani Restaurant & Bakers                |   22 |   23 |  6 |    5 |    0 |  311 |  5168 | 295  | 16
Al Nadeg Restaurant                                      | Sahara Star Restaurant                               |   22 |   43 |  6 |    5 |    0 |  311 |  5168 | 295  | 16
Zaid Alammor                                             | Al Nadeg Restaurant                                  |   16 |   22 |  6 |    1 |    5 |  323 |  5168 | 28   | 295
Al Reef Al Yamani Restaurant & Bakers                    | Al Fakher Mandi                                      |   23 |   25 |  6 |    0 |    6 |  326 |  5167 | 16   | 310
Al Fakher Mandi                                          | Sahara Star Restaurant                               |   25 |   43 |  6 |    6 |    0 |  326 |  5168 | 310  | 16
Al Nadeg Restaurant                                      | Laffah Restaurant Dubai Branch                       |   22 |   40 |  6 |    5 |    1 |  328 |  5168 | 295  | 33
Al Marhabani Restaurant                                  | Al Reef Al Yamani Restaurant & Bakers                |   15 |   23 |  6 |    4 |    2 |  334 |  5059 | 209  | 125
Al Marhabani Restaurant                                  | Sahara Star Restaurant                               |   15 |   43 |  6 |    4 |    2 |  334 |  5059 | 209  | 125
